FIRE_NAME,acres_geom,sev1_acres,sev2_acres,sev3_acres,sev4_acres,sev5_acres,sev6_acres,burned_acres
BOND,6681.120094642469,366.28430694877915,3814.738747475658,2562.2109898948906,149.8941243979825,1.7791587465635903,0.0,6893.1281687173105
SNOW,6253.470175841701,808.4052554698313,4898.468818976205,726.5639531279062,41.365440857603474,0.0,0.0,6474.803468431546
CREWS,5513.15236751938,491.9373934248327,4543.97143872341,631.8237498733951,24.241037921928918,3.113527806486283,11.564531852663336,5691.9736199435665
GRANT,5062.21623511965,136.32803895543512,5056.8139474203645,0.0,0.0,0.2223948433204488,4.225502023088527,5193.141986375799
WOODWARD,4901.71481568476,1808.2924710385691,1552.538401220053,1168.462506805638,441.2313691477704,3.113527806486283,0.0,4970.52474821203
RANCH2,4119.1503620610765,102.079233084086,745.2451199668238,2992.322616876638,634.7148828365608,0.0,0.0,4474.361852764109
BEACH,3668.4428714949427,19.793141055519943,3574.552316689573,0.0,0.0,0.0,7.116634986254361,3594.3454577450934
CREEK 5,3052.164420171926,152.3404676745074,2000.6640105107572,1150.0037348100407,33.13683165474687,0.4447896866408976,21.127510115442636,3336.145044650052
BRANCH,2922.2065437565657,145.0014378449326,3008.7798352823515,0.0,0.0,0.4447896866408976,0.0,3153.7812731272843
BENA,2884.399320738059,101.6344433974451,2787.941755865146,0.0,0.0,2.891132963165834,0.0,2889.576199262591
MOC,2857.6473284635535,88.51314764153862,1535.191603441058,1289.6676964152825,133.88169567891018,0.0,0.0,3047.254143176789
LAURA 2,2729.0232817772076,598.9093130619685,2329.3635889383804,0.0,0.0,1.5567639032431415,0.0,2928.2729020003494
MEYERS,2360.2707089140013,136.10564411211465,1578.5585978885456,294.00598286963327,385.1878686310173,1.3343690599226927,0.0,2393.8580935013106
HOLSER,2188.63236433516,197.93141055519942,1404.2010407253135,704.1020739525409,0.0,0.0,0.0,2306.234525233054
PASS,2163.684192701786,56.488290203393994,2060.043433677317,0.0,0.0,2.891132963165834,0.0,2116.531723880711
HILLS,2120.9827455279396,221.9500536338079,1726.6735635399643,0.0,0.0,2.891132963165834,0.0,1948.6236171737723
WOLF,2057.292102682378,319.5813898514849,1485.597553380598,201.26733320500614,0.0,0.0,6.0046607696521175,2006.446276437089
FOX,2027.555128468802,130.76816787242387,1049.036475942557,675.8579288508439,258.86759762500236,0.0,0.0,2114.530170290827
POND,1962.3169998606352,81.39651265528425,809.5172296864336,1040.5854718963799,67.38563752609598,0.6671845299613464,24.01864307860847,1998.8848517641936
SANDERSON,1954.6556946614357,287.1117427266994,1679.0810670693884,0.0,0.0,6.671845299613464,0.0,1966.1928097960877
QUAIL,1840.9696629065963,188.36843229242012,1766.2598456510043,14.900454502470069,3.780712336447629,2.891132963165834,0.0,1973.309444782342
FORK,1668.4762954827575,73.3902982957481,1116.8669031552938,370.5098089718677,131.43535240238523,0.0,0.0,1692.2023628252948
SODA,1653.0997486959625,97.85373106099746,1692.4247576686153,0.0,0.0,0.2223948433204488,0.0,1790.2784887296127
SALT,1593.7322838711739,47.14770678393514,1549.2024785702463,79.61735390872066,0.0,0.2223948433204488,2.223948433204488,1675.9675392629022
SOLEDAD,1525.5334398996968,104.74797120393139,1230.0658784054021,328.2547887409824,0.0,1.3343690599226927,0.0,1663.068638350316
COYOTE,1485.0631734685849,110.08544744362214,909.5949091806356,524.6294353929387,0.0,3.113527806486283,0.0,1544.3097920171963
WALKER,1397.9982833694644,103.85839183064958,504.6138994940983,632.9357240899973,277.54876446392007,0.0,0.0,1518.9567798786652
DALTON ,1367.0746857036934,365.6171224188178,1226.2851660689546,0.0,0.0,2.446343276524937,0.0,1591.9022884877725
SCORPION,1320.7147460800197,88.29075279821816,1028.7985452003961,265.98423261125674,0.0,0.0,0.0,1383.073530609871
MORAINE,1316.035146392294,216.39018255079668,843.9884304011032,127.20985037929671,14.010875129188273,0.0,0.0,1201.5993384603848
WILLOWS,1309.0956644959872,121.64997929628548,1167.1281377457153,0.0,0.0,0.0,0.0,1288.7781170420008
OAK,1146.4495946382528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIRPORT,1085.7012083057623,20.905115272122185,1253.63973179737,2.891132963165834,0.4447896866408976,0.0,15.122849345790517,1277.8807697192988
IVANPAH,1051.5000735075655,67.83042721273688,949.4035861349959,0.0,0.0,0.0,0.0,1017.2340133477328
GRADE,1050.2425606474505,47.59249647057604,1085.28683540379,0.0,0.0,0.0,0.0,1132.879331874366
ALLEN,1034.792896939115,100.96725886748375,619.5920334907703,412.5424343594325,52.04039333698502,0.0,15.345244189110966,1185.1421200546715
